Id,City,2000 population,2014 population estimate
1600000US5101000,"Alexandria, Virginia",128283,150575
1600000US5103000,"Arlington, Virginia",189453,226908
1600000US5116000,"Chesapeake, Virginia",199184,233371
1600000US5135000,"Hampton, Virginia",146437,136879
1600000US5156000,"Newport News, Virginia",180150,182965
1600000US5157000,"Norfolk, Virginia",234403,245428
1600000US5167000,"Richmond, Virginia",197790,217853
1600000US5182000,"Virginia Beach, Virginia",425257,450980
1600000US5305210,"Bellevue, Washington",109569,136426
1600000US5322640,"Everett, Washington",91488,106741
1600000US5335415,"Kent, Washington",79524,125547
1600000US5363000,"Seattle, Washington",563374,668337
1600000US5367000,"Spokane, Washington",195629,212067
1600000US5370000,"Tacoma, Washington",193556,205153
1600000US5374060,"Vancouver, Washington",143560,169303
1600000US5531000,"Green Bay, Wisconsin",102313,104893
1600000US5548000,"Madison, Wisconsin",208054,245674
1600000US5553000,"Milwaukee, Wisconsin",596974,599653
