Id,City,2000 population,2010 population,2014 population estimate
1600000US2250115,"Metairie, Louisiana",146136,138481,144239
1600000US2255000,"New Orleans, Louisiana",484674,343829,384320
1600000US2270000,"Shreveport, Louisiana",200145,199311,197979
1600000US2404000,"Baltimore, Maryland",651154,620961,622793
1600000US2507000,"Boston, Massachusetts",589141,617594,656051
1600000US2511000,"Cambridge, Massachusetts",101355,105162,109699
1600000US2537000,"Lowell, Massachusetts",105167,106519,109931
1600000US2567000,"Springfield, Massachusetts",152082,153060,153994
1600000US2582000,"Worcester, Massachusetts",172648,181045,183033
1600000US2603000,"Ann Arbor, Michigan",114024,113934,117759
1600000US2622000,"Detroit, Michigan",951270,713777,680281
1600000US2634000,"Grand Rapids, Michigan",197800,188040,193793
1600000US2646000,"Lansing, Michigan",119128,114297,113659
1600000US2676460,"Sterling Heights, Michigan",124471,129699,131729
1600000US2684000,"Warren, Michigan",138247,134056,135099
1600000US2743000,"Minneapolis, Minnesota",382618,382578,407181
1600000US2754880,"Rochester, Minnesota",85806,106769,111398
1600000US2758000,"St. Paul, Minnesota",287151,285068,297644
1600000US2836000,"Jackson, Mississippi",184256,173514,171146
1600000US2915670,"Columbia, Missouri",84531,108500,116892
1600000US2935000,"Independence, Missouri",113288,116830,117503
1600000US2938000,"Kansas City, Missouri",441545,459787,470816
1600000US2965000,"St. Louis, Missouri",348189,319294,317419
1600000US2970000,"Springfield, Missouri",151580,159498,165399
1600000US3006550,"Billings, Montana",89847,104170,108870
1600000US3128000,"Lincoln, Nebraska",225581,258379,273002
1600000US3137000,"Omaha, Nebraska",390007,408958,446618
1600000US3223770,"Enterprise, Nevada",14676,108481,126438
1600000US3231900,"Henderson, Nevada",175381,257729,277458
1600000US3240000,"Las Vegas, Nevada",478434,583756,613590
1600000US3251800,"North Las Vegas, Nevada",115488,216961,230793
1600000US3254600,"Paradise, Nevada",186070,223167,237477
1600000US3260600,"Reno, Nevada",180480,225221,236995
1600000US3268585,"Spring Valley, Nevada",117390,178395,192113
1600000US3271400,"Sunrise Manor, Nevada",156120,189372,189229
1600000US3345140,"Manchester, New Hampshire",107006,109565,110451
1600000US3421000,"Elizabeth, New Jersey",120568,124969,128695
1600000US3436000,"Jersey City, New Jersey",240055,247597,262146
1600000US3451000,"Newark, New Jersey",273546,277140,280577
1600000US3457000,"Paterson, New Jersey",149222,146199,146746
1600000US3502000,"Albuquerque, New Mexico",448607,545852,557172
1600000US3539380,"Las Cruces, New Mexico",74267,97618,101405
1600000US3611000,"Buffalo, New York",292648,261310,258699
1600000US3651000,"New York, New York",8008278,8175133,8491079
1600000US3663000,"Rochester, New York",219773,210565,209974
1600000US3673000,"Syracuse, New York",147306,145170,144263
1600000US3684000,"Yonkers, New York",196086,195976,200665
1600000US3710740,"Cary town, North Carolina",94536,135234,155724
1600000US3712000,"Charlotte, North Carolina",540828,731424,809974
1600000US3719000,"Durham, North Carolina",187035,228330,251872
1600000US3722920,"Fayetteville, North Carolina",121015,200564,203939
1600000US3728000,"Greensboro, North Carolina",223891,269666,282558
1600000US3731400,"High Point, North Carolina",85839,104371,107957
1600000US3755000,"Raleigh, North Carolina",276093,403892,439884
1600000US3774440,"Wilmington, North Carolina",75838,106476,113676
1600000US3775000,"Winston-Salem, North Carolina",185776,229617,239273
1600000US3825700,"Fargo, North Dakota",90599,105549,116572
1600000US3901000,"Akron, Ohio",217074,199110,197846
1600000US3915000,"Cincinnati, Ohio",331285,296943,298162
1600000US3916000,"Cleveland, Ohio",478403,396815,389524
1600000US3918000,"Columbus, Ohio",711470,787033,836293
1600000US3921000,"Dayton, Ohio",166179,141527,140995
1600000US3977000,"Toledo, Ohio",313619,287208,281014
1600000US4009050,"Broken Arrow, Oklahoma",74859,98850,106226
1600000US4052500,"Norman, Oklahoma",95694,110925,118046
1600000US4055000,"Oklahoma City, Oklahoma",506132,579999,620553
1600000US4075000,"Tulsa, Oklahoma",393049,391906,399274
1600000US4123850,"Eugene, Oregon",137893,156185,160552
1600000US4131250,"Gresham, Oregon",90205,105594,109877
1600000US4159000,"Portland, Oregon",529121,583776,619445
1600000US4164900,"Salem, Oregon",136924,154637,161648
1600000US4202000,"Allentown, Pennsylvania",106632,118032,119105
1600000US4260000,"Philadelphia, Pennsylvania",1517550,1526006,1560297
1600000US4261000,"Pittsburgh, Pennsylvania",334563,305704,305434
1600000US4459000,"Providence, Rhode Island",173618,178042,179142
