Id,City,Population estimate
1600000US4419180,"Cranston city, Rhode Island",81029
1600000US4810912,"Bryan city, Texas",80916
1600000US0680854,"Tustin city, California",80617
1600000US0523290,"Fayetteville city, Arkansas",80614
1600000US0639496,"Lake Forest city, California",80125
1600000US3961000,"Parma city, Ohio",80023
1600000US0650258,"Napa city, California",80009
1600000US3650617,"New Rochelle city, New York",79630
1600000US0404720,"Avondale city, Arizona",79621
1600000US0649670,"Mountain View city, California",79374
1600000US1236100,"Kendall CDP, Florida",79143
1600000US5147672,"Lynchburg city, Virginia",79047
1600000US1239425,"Largo city, Florida",79028
1600000US2562535,"Somerville city, Massachusetts",78903
1600000US1216725,"Deerfield Beach city, Florida",78898
1600000US5303180,"Auburn city, Washington",78769
1600000US4206088,"Bethlehem city, Pennsylvania",78759
1600000US1706613,"Bloomington city, Illinois",78743
1600000US2707966,"Brooklyn Park city, Minnesota",78741
1600000US4147000,"Medford city, Oregon",78560
1600000US4965330,"St. George city, Utah",78509
1600000US1243975,"Melbourne city, Florida",78486
1600000US1831000,"Hammond city, Indiana",78383
1600000US0604982,"Bellflower city, California",78246
1600000US2534550,"Lawrence city, Massachusetts",78192
1600000US0566080,"Springdale city, Arkansas",78122
1600000US5566000,"Racine city, Wisconsin",78054
1600000US4548535,"Mount Pleasant town, South Carolina",77787
1600000US2472450,"Silver Spring CDP, Maryland",77726
1600000US0657792,"Pleasanton city, California",77676
1600000US0600562,"Alameda city, California",77661
1600000US5114440,"Centreville CDP, Virginia",77618
1600000US5335275,"Kennewick city, Washington",77424
1600000US3410000,"Camden city, New Jersey",77317
1600000US0603666,"Baldwin Park city, California",77134
1600000US0613214,"Chino Hills city, California",77005
1600000US2964550,"St. Joseph city, Missouri",76529
1600000US0681344,"Upland city, California",76039
1600000US1256825,"Pine Hills CDP, Florida",76021
1600000US2642160,"Kalamazoo city, Michigan",75909
1600000US0428380,"Goodyear city, Arizona",75676
1600000US4806128,"Baytown city, Texas",75670
1600000US1724582,"Evanston city, Illinois",75657
1600000US4857200,"Pharr city, Texas",75381
1600000US0624638,"Folsom city, California",75366
1600000US0668378,"San Ramon city, California",75319
1600000US1768003,"Schaumburg village, Illinois",75287
1600000US4269000,"Scranton city, Pennsylvania",75278
1600000US4848804,"Missouri City city, Texas",75128
1600000US2751730,"Plymouth city, Minnesota",75065
1600000US2241155,"Lake Charles city, Louisiana",74875
1600000US2688940,"Wyoming city, Michigan",74820
1600000US1702154,"Arlington Heights village, Illinois",74445
1600000US5121088,"Dale City CDP, Virginia",73809
1600000US0656700,"Perris city, California",73751
1600000US3725580,"Gastonia city, North Carolina",73696
1600000US0647766,"Milpitas city, California",73679
1600000US0681204,"Union City city, California",73608
1600000US3615000,"Cheektowaga CDP, New York",73556
1600000US0645484,"Manteca city, California",73477
1600000US1938595,"Iowa City city, Iowa",73424
1600000US1707133,"Bolingbrook village, Illinois",73414
1600000US1207875,"Boynton Beach city, Florida",73121
1600000US2669035,"Rochester Hills city, Michigan",73120
1600000US1718823,"Decatur city, Illinois",73081
1600000US1380508,"Warner Robins city, Georgia",73060
1600000US4804462,"Atascocita CDP, Texas",73017
1600000US1301052,"Albany city, Georgia",73016
1600000US2674900,"Southfield city, Michigan",73001
1600000US0950370,"New Britain city, Connecticut",72889
1600000US0410670,"Casas Adobes CDP, Arizona",72867
1600000US5502375,"Appleton city, Wisconsin",72654
1600000US0846465,"Loveland city, Colorado",72647
1600000US4652980,"Rapid City city, South Dakota",72642
1600000US2426000,"Ellicott City CDP, Maryland",72295
1600000US3912000,"Canton city, Ohio",72274
1600000US4943660,"Layton city, Utah",72223
1600000US0535710,"Jonesboro city, Arkansas",72214
1600000US2481175,"Waldorf CDP, Maryland",72048
1600000US0644574,"Lynwood city, California",71846
1600000US1077580,"Wilmington city, Delaware",71808
1600000US2829700,"Gulfport city, Mississippi",71747
1600000US0602364,"Apple Valley town, California",71586
1600000US3456550,"Passaic city, New Jersey",71517
1600000US4454640,"Pawtucket city, Rhode Island",71490
1600000US5584250,"Waukesha city, Wisconsin",71482
1600000US0680812,"Turlock city, California",71246
1600000US1827000,"Gary city, Indiana",71180
1600000US1224125,"Fort Myers city, Florida",70916
1600000US4872176,"Temple city, Texas",70785
1600000US2524960,"Framingham CDP, Massachusetts",70744
1600000US1239550,"Lauderhill city, Florida",70636
1600000US0659962,"Redlands city, California",70618
1600000US4727740,"Franklin city, Tennessee",70613
1600000US1851876,"Muncie city, Indiana",70580
1600000US3570500,"Santa Fe city, New Mexico",70291
1600000US4561405,"Rock Hill city, South Carolina",69967
1600000US2432650,"Glen Burnie CDP, Maryland",69906
1600000US3050200,"Missoula city, Montana",69824
1600000US5353545,"Pasco city, Washington",69807
1600000US0659444,"Rancho Cordova city, California",69727
1600000US4826232,"Flower Mound town, Texas",69419
1600000US0121184,"Dothan city, Alabama",69400
1600000US1757225,"Palatine village, Illinois",69357
1600000US1276582,"Weston city, Florida",69091
1600000US3734200,"Jacksonville city, North Carolina",69031
1600000US1271625,"The Villages CDP, Florida",68874
1600000US0423620,"Flagstaff city, Arizona",68786
1600000US3474630,"Union City city, New Jersey",68673
1600000US3608026,"Brentwood CDP, New York",68580
1600000US4852356,"North Richland Hills city, Texas",68527
1600000US3649121,"Mount Vernon city, New York",68455
1600000US2430325,"Frederick city, Maryland",68404
1600000US1982425,"Waterloo city, Iowa",68365
1600000US5522300,"Eau Claire city, Wisconsin",68207
1600000US0660018,"Redondo Beach city, California",68146
1600000US0657456,"Pittsburg city, California",68122
1600000US2964082,"St. Charles city, Missouri",68087
1600000US0686832,"Yorba Linda city, California",67824
1600000US3807200,"Bismarck city, North Dakota",67666
1600000US0683346,"Walnut Creek city, California",67664
1600000US2208920,"Bossier City city, Louisiana",67453
1600000US4737640,"Jackson city, Tennessee",67308
1600000US2239475,"Kenner city, Louisiana",67058
1600000US1840788,"Lafayette city, Indiana",67012
1600000US0673262,"South San Francisco city, California",67011
1600000US0655282,"Palo Alto city, California",66968
1600000US2740166,"Maple Grove city, Minnesota",66949
1600000US0610046,"Camarillo city, California",66932
1600000US0550450,"North Little Rock city, Arkansas",66813
1600000US2431175,"Gaithersburg city, Maryland",66807
1600000US2771428,"Woodbury city, Minnesota",66799
1600000US0618100,"Davis city, California",66733
1600000US1236950,"Kissimmee city, Florida",66729
1600000US2360545,"Portland city, Maine",66669
1600000US5560500,"Oshkosh city, Wisconsin",66631
1600000US0611390,"Carmichael CDP, California",66493
1600000US4875428,"Victoria city, Texas",66098
1600000US2717288,"Eagan city, Minnesota",66087
1600000US3403580,"Bayonne city, New Jersey",65984
1600000US2467675,"Rockville city, Maryland",65941
1600000US3665508,"Schenectady city, New York",65930
